case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
001,5,47502,233110,4.9073723211654245,4608,0,0.8218114000010246,0.9802572000007785,results/a/q2-yuanzhifang/feedback-20260924/round14m/001-gap_packet/run.json,80eaadea19e8eefcf8d080b0bf72b2c9a70efcb1388f0ea8c3cf9d7fe606e3dd,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202
002,5,56081,261945,4.670833259036037,608256,0,0.8941681999967841,1.3882882000034442,results/a/q2-yuanzhifang/feedback-20260924/round14m/002-gap_packet/run.json,a646618d5b0215469f80ff1cc82d7438c651c8aff22a6a9cd0df715363f481ea,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754
003,5,205295,602212,2.9333982805231495,9845480,0,8.346690000002127,13.646863399997528,results/a/q2-yuanzhifang/feedback-20260924/round14m/003-gap_packet/run.json,ebdeb71d7143fe90c23245dbc8649bc253932229bacd76c7faa137cb80c0ecce,ef488a35e99ccd3cd797e8b0dbf2c7d1a9d5bc6feff8206e071747dc01c8b36b
004,5,86693,392357,4.525821000542143,2626560,110592,1.6535184999993362,0.8897629999992205,results/a/q2-yuanzhifang/feedback-20260924/round14m/004-gap_packet/run.json,ecee6d52d597bb9eb66b816fc6d6924adecf5604e43143537da6e7a8a4fea32c,a2fb836bdffe6f71dc4464a8670ac68aaa201a6a561b1eebef97dd42ac09148c
005,5,47017,95618,2.0336899419358954,2346552,0,3.843399600002158,2.1319631000005757,results/a/q2-yuanzhifang/feedback-20260924/round11c/005-gap_packet/run.json,de3b111922b9d707c2fa6a9895fecddf06c2556caf63e5d6b8c41d964b842d34,bda37a23605f3460f42810691f801e1fa334195c1b8f78f72c34200ac5360668
006,5,25613,82837,3.2341779565064614,800540,0,1.1451673000010487,0.75741779999953,results/a/q2-yuanzhifang/feedback-20260924/round14m/006-gap_packet/run.json,b9323dafc743024ed4f41d2d69ac8733d084dccf9d0d0aaf9596aa495759e764,ac73c133b6828c9e4eaa9fb3430b84183eb9907055ee2c3de0df346759affc0c
007,5,197044,1012562,5.138760885893506,4411392,4300800,2.2312462000008964,2.5019071999995504,results/a/q2-yuanzhifang/feedback-20260924/round14m/007-gap_packet/run.json,ff5ad594a08904eaf568cf1e138d6c43480c054cd2d8ec6894736cdb860f21a3,d6f00fedd7ee7f3674672405e51f66af818b8c02c4fd8ee8a95adbf03ff0f699
008,5,233682,487605,2.08661771124862,11172480,3170304,1.458903899998404,1.5301028000030783,results/a/q2-yuanzhifang/feedback-20260924/round14m/008-gap_packet/run.json,20cecfcf02976ab767ae56cae22db5525fe0d0cc057381ddcbec07d778c0748c,bfd778e7401f0f5b8e9a11a3d9fb33fd60194008a53de967b0c10605684c5530
009,5,54517,153261,2.8112515362180606,1604936,0,4.59113570000045,3.5392635999996855,results/a/q2-yuanzhifang/feedback-20260924/round14m/009-gap_packet/run.json,7249dc890c341aaddcbbc418294edc8a3ca5ef70bffa4aa54ae5eff11870c9ec,333ea76e0a9fe56ca10f27ecc42adee48c562b13d918c8e0e335d7ec125428ca
010,5,24256,86969,3.585463390501319,1014156,0,1.0623286000009102,0.8516807999985758,results/a/q2-yuanzhifang/feedback-20260924/round14m/010-gap_packet/run.json,a587d1e1cb879268ab88935f437e5059fa1090a3d260e6cb8f4144ae84d92eb7,c94dc29770a18aa943e05f7c083ad2dda65944ad75f533d93f9bcdaadcd35084
011,5,46777,184697,3.9484575753041025,811008,0,0.5989426999985881,1.0038545000024897,results/a/q2-yuanzhifang/feedback-20260924/round14m/011-gap_packet/run.json,c76a35c5f7a4bc2ded1260d8ed89038a2978d080b30b397dc5592fdcc222d683,ee533baec464f63477f2609c257f350c3dd8aa35a5a88cc4c2a1a7bec0262540
012,5,17257,59088,3.424001854319986,419568,0,1.2393473000011,1.0653684999997495,results/a/q2-yuanzhifang/feedback-20260924/round14m/012-gap_packet/run.json,9a8584f070cfdcd2e9012b1be882edd9d3bc9ddc945687950cf9067878762909,3dd008890521eabfa050af251229e1377c6ec9a6da80f1839a6a0147ab4455f4
013,5,54363,263949,4.855305998565201,32768,0,1.1555614000026253,1.5929241999983788,results/a/q2-yuanzhifang/feedback-20260924/round14m/013-gap_packet/run.json,e75a1aaf59ec7cac1de0efdefb1a73b5daf1bf9f8bdb8f17aaa385912b61429b,3b3a05185e2d7a4ac270beb8e0e3fa928d6db730328dd1b4853ac3e92d29adae
014,5,4364011,17698626,4.055586935963269,212032632,44364288,40.31432279999717,48.64246750000166,results/a/q2-yuanzhifang/feedback-20260924/round15m/014-gap_packet/run.json,67c7d3285a6765fd65534f85d0c34626e6a9a8cb9ad3472162ed83da54e06c33,7223b5eeb6a81ab221611d97c92c45667c30230cf26057856414c842d5e7da60
015,5,52362,177362,3.38722737863336,2114000,0,1.4575611000000208,1.3870139999999083,results/a/q2-yuanzhifang/feedback-20260924/round15m/015-gap_packet/run.json,ef0b9b716d91cbf5f9544f3a3b691e82b8f55716883261e201f074095fcde898,16b253a64a08352f252961b1a126c3f0c10e37a729f030c157932b75568c3229
